makes me feel like,gibt mir das Gefühl
keep one's shirt on,sich nicht aufregen
keep in the dark,im Ungewissen lassen
kick (some) ideas around,mit Ideen spielen
kick up fuss,einen Wirbel machen
kick up fuss,Krawall schlagen
kick up fuss,Rabatz machen
kick up fuss,Rambazamba machen
kick up fuss,Stunk machen
kick up row,Radau machen
kick up row,Stunk machen
kick up stink,Stunk machen
kick up one's heels,einen draufmachen
knock for loop,schocken
laugh like hyena,wie ein Huhn gackern
lead fast life,ein liederliches Leben führen
let cool his heels,warten lassen
live on the edge,hart am Abgrund leben
make (quite) splash,für Aufruhr sorgen
make (quite) splash,Furore machen
make fleeting appearance,sich kurz sehen lassen
make fresh start,einen neuen Anfang machen
make long face,ein langes Gesicht machen
make stone cry,einen Stein erweichen
make an impression on,bei Eindruck hinterlassen
mistake apples for oranges,Äpfel mit Birnen verwechseln
move with the times,mit der Zeit gehen
not be wearing blinkers,über den Tellerrand hinausschauen
not breathe word,kein Sterbenswörtchen sagen
not budge an inch,keinen Finger breit entgegenkommen
not have any say,nichts zu bestellen haben
not lift finger,keine Hand rühren
not turn hair,sich nichts anmerken lassen
over-egg the pudding,zu dick auftragen
play hard get,sich rar machen
play it by ear,es darauf ankommen lassen
play it by ear,improvisieren
play it by ear,von Fall zu Fall entscheiden
pull long face,ein langes Gesicht ziehen
put in an appearance,sich blicken lassen
put one's foot down,ein Machtwort sprechen
put one's oar in,dazwischenfunken
put on the spot,in Verlegenheit bringen
put on the map,bekanntmachen
raise the devil with,fertigmachen
rake over old coals,alte Geschichten (wieder) ausgraben
ram one's point home,seinen Standpunkt (nachdrücklich) klarmachen
reach for the stars,nach den Sternen greifen
reach for the stars,nach den Sternen langen
read between the lines,zwischen den Zeilen lesen
rise the bait,in die Falle gehen
run out of steam,keine Lust mehr haben
run with the pack,mit den Wölfen heulen
rustle up some money,etwas Geld loseisen
scream like lunatic,wie von Sinnen schreien
see behind the curtain,hinter die Fassade schauen
set up shop,einen Laden aufmachen
shoot for the stars,nach den Sternen greifen
shout the house down,das ganze Haus zusammenbrüllen
shout the house down,das ganze Haus zusammenschreien
sit on one's hunkers,(faul) herumsitzen
sleep like log,schlafen wie ein Murmeltier
sleep like log,wie ein Stein schlafen
smile through gritted teeth,gezwungen lächeln
sob one's heart out,sein Herz ausweinen
speak with forked tongue,mit gespaltener Zunge sprechen reden
spit one's venom at,angiften
stand in good stead,zugute kommen
stand in good stead,zugutekommen
stick one's neck out,den Kopf riskieren
stick one's oar in,dazwischenfunken
strike (raw) nerve,einen Nerv treffen
strike terror into heart,zutiefst erschrecken
strive against the stream,gegen den Strom schwimmen
swap horses in midstream,(plötzlich) einen anderen Kurs einschlagen
swear like sailor,fluchen wie ein Bierkutscher
swear like trooper,fluchen wie ein Bierkutscher
take back seat,eine untergeordnete Rolle einnehmen
take name in vain,über lästern
take stock of it,(eine) Bilanz darüber ziehen
take stock of it,darüber (eine) Bilanz ziehen
take the high road,den rechten Weg beschreiten
take one's heels,Reißaus nehmen
talk blue streak,endlos quasseln
test the water waters,das Terrain sondieren
testify former greatness,von einstiger Größe zeugen
think on one's feet,schnell (und entschlossen) reagieren
think outside the box,über den Tellerrand schauen
think outside the box,um die Ecke denken
Unverified throw in the towel,den (ganzen) Bettel hinwerfen
throw in the towel,die Brocken hinwerfen
throw the book at,mit Beschuldigungen überhäufen
toe the party line,sich der Parteilinie unterordnen
touch (raw) nerve,einen Nerv treffen
try one's hand at,ausprobieren
turn on the blarney,Süßholz raspeln
turn the other cheek,die andere Backe hinhalten
turn the other cheek,die andere Wange hinhalten
vanish from the scene,in der Versenkung verschwinden
vanish into thin air,von der Bildfläche verschwinden
whip into frenzy,zur Raserei bringen
(two very) different animals,zwei (verschiedene) Paar Schuhe
heart of stone,ein Herz aus Stein
hoard of facts,eine beeindruckende Sammlung von Fakten
three dog night,eine sehr kalte Nacht
touch of stardust,ein Hauch (von) Magie
an ounce of sense,für fünf Pfennig Verstand
fluid style of writing,locker-flockige Schreibe
quiet before the storm,Ruhe vor dem Sturm
shot across the bows,Schuss vor den Bug
skeleton in the closet,Leiche im Keller
the answer everything,der Weisheit letzter Schluss
the good old days,die gute alte Zeit
the life of Riley,das süße Leben
the moment of truth,die Stunde der Wahrheit
the mother of all ...,die Mutter aller ...
the ravages of time,der Zahn der Zeit
the seven lean years,die sieben mageren Jahre
the summit of creation,die Krone der Schöpfung
water over the dam,Schnee von gestern
water under the bridge,Schnee von gestern
(as) dead as dormouse,mausetot
(as) flat as pancake,total flach
(as) mad as hornet,fuchsteufelswild
(as) white as sheet,todesbleich
(every) once in while,dann und wann
as matter of fact,um genau zu sein
as far as that goes,was das angeht
as flat as pancake,total platt
as if add insult injury,wie zum Hohn
as proud as peacock,mit geschwellter Brust
as proud as peacock,mit stolzgeschwellter Brust
at the best of times,im besten Fall
at the crack of dawn,in aller Herrgottsfrühe
at the dead of night,in der tiefsten Nacht
at the flick of switch,auf Knopfdruck
back the salt mines,zurück an die Arbeit
by the grace of God,mit durch Gottes Gnade
come fire or high water,"egal, was geschieht"
come hell or high water,"komme, was wolle"
come hell or high water,"egal, was passiert"
enough make stone cry,zum Steinerweichen
every once in while,ab und zu
for in good cause,für einen guten Zweck
for all intents and purposes,im Grunde genommen
Get hold of yourself!,Reiß dich zusammen!
How does it strike you?,Wie denkst du darüber?
in blaze of glory,umgeben von einem Glorienschein
in month of Sundays,seit Ewigkeiten
in New York minute,sofort
in her own sweet way,auf ihre unübertroffene Art
in less than no time,im Handumdrehen
in the blink of an eye,im Handumdrehen
in the face of adversity,angesichts der Widrigkeiten
in the twinkling of an eye,im Handumdrehen
Let's not jump the gun!,Nur keine Schnellschüsse!
like fish out of water,fehl am Platz
Never in million years!,Nicht im Leben!
Never in million years!,Nie und nimmer!
never in thousand years,nie im Leben
nine times out of ten,so gut wie immer
not by long shot,bei weitem nicht
not by long shot,noch längst nicht
not by long sight,bei weitem nicht
not for love nor money,um keinen Preis
not until the eleventh hour,erst in letzter Sekunde
not worth (red) cent,keinen Pfennig wert
Something got in my way.,Mir ist etwas dazwischengekommen.
That is part of the deal.,Das gehört dazu.
The children are all ears.,Die Kinder hören zu.
They disappeared into thin air.,Sie sind verduftet.
the best of one's knowledge,nach bestem Wissen
under the veil of darkness,im Schutz der Dunkelheit
when all is said and done,letzten Endes
when it comes down it,letzten Endes
without shadow of doubt,vollkommen außer Zweifel
You must hold your tongue.,Sie dürfen nichts sagen.
avoid the elephant in the room,am Problem vorbeireden
avoid the elephant in the room,das Offensichtliche leugnen
be (as) healthy as horse,kerngesund sein
be (completely) in the dark,keine Ahnung haben
be pain in the neck,nerven
be sight behold,ein unvergesslicher Anblick sein
be ahead of the curve,ein Vorreiter sein
be all smiles and graces,die Freundlichkeit selbst sein
be as quick as fox,wieselflink sein
be as quiet as mouse,keinen Mucks tun
be as safe as houses,absolut sicher sein
Unverified be asking for it trouble,es darauf anlegen
be at loose end,beschäftigungslos sein
be at one's wits' end,nicht mehr weiterwissen
be back in flash,gleich wieder da sein
be back in flash,sofort wieder da sein
be born under lucky star,ein Glückskind sein
be bottom of the barrel,(wirklich) das Allerletzte sein
be dressed the hilt,aufgetakelt sein
Unverified be given believe that ...,"meinen zu wissen, dass ..."
be in sorry state,im Argen liegen
be in the family way,schwanger sein
be in the thick of things,im Mittelpunkt stehen
be like chalk and cheese,überhaupt nicht zusammenpassen
be of the same mind,der gleichen Meinung sein
be on one's last legs,erschöpft sein
be one in million,äußerst höchst unwahrscheinlich sein
be out for the count,tief und fest schlafen
be out of one's mind,verrückt sein
be out of the picture,unbeteiligt sein
be put on the spot,in Zugzwang geraten
be quick on the uptake,schnell kapieren
burst into flood of tears,in Tränen ausbrechen
catch off (his her) guard,unvorbereitet treffen
come grinding halt,(allmählich) zum Stillstand kommen
come one's right senses,zu Sinnen kommen
come terms with it,sich dareinfinden
come up in the world,seinen Weg machen
cost an arm and leg,Unsummen kosten
deal in an underhanded manner,mit verdeckten Karten spielen
fly into towering rage,einen schrecklichen Wutanfall bekommen
fly into violent rage,in heftigen Zorn geraten
get grip on oneself,sich zusammenreißen
get in the (pudding) club,schwanger werden
get it in the neck,gescholten werden
get the bottom of,aufklären
get the bottom of,ergründen
go from strength strength,immer größere Erfolge erzielen
go off on tangent,plötzlich das Thema wechseln
go out (of) the window,verschwinden
go out of one's mind,austicken
go out of one's mind,überschnappen
go out on limb,sich exponieren
go through bad patch,eine Pechsträhne haben
hand it on plate,eine Steilvorlage liefern
have bun in the oven,schwanger sein
have hard furrow plough,es schwer haben
have big shoes fill,keine leichte Aufgabe haben
have the backbone (to do sth),Rückgrat haben
have the patience of Job,eine Hiobsgeduld haben
jump out of one's skin,einen Todesschreck bekommen
keep stiff upper lip,den Mut nicht verlieren
keep stiff upper lip,sich nicht erschüttern lassen
look for the silver lining,die positive Seite sehen
make fool of oneself,sich lächerlich machen
make world of difference,einen himmelweiten Unterschied machen
make money hand over fist,schnell Geld scheffeln
make prick up their ears,hellhörig machen
not lay oneself open attack,keine Angriffspunkte bieten
not let it go any further,es nicht weitersagen
plumb the depths of despair,die tiefste Verzweiflung erleben
pour oil on troubled waters,die Wogen glätten
pull fast one on,reinlegen
pull out all the stops,alle Register ziehen
pull out the big guns,den Hammer auspacken
put in little bit of elbow grease,zupacken
put off the evil day,das Unvermeidliche hinauszögern
put off the evil hour,das Unvermeidliche hinauszögern
reach the end of the line,am Ende sein
set teeth on edge,nervös machen
set the house on fire,das Publikum begeistern
sow the seed seeds of discord,Zwietracht säen
start with clean slate,ganz von vorne anfangen
stop by for moment,kurz vorbeigucken
strike out on one's own,allein losziehen
turn over new leaf,ein neues Leben beginnen
fair crack of the whip,eine faire Chance
sea of open questions,eine Menge offener Fragen
shot in the dark,eine wilde Mutmaßung
cut and thrust of politics,Schlagabtausch (in) der Politik
not an ounce of truth,kein Fünkchen Wahrheit
nothing get excited about,nichts Weltbewegendes
nothing write home about,nichts Weltbewegendes
the toast of the town,der Stolz der Stadt
Anytime!,Immer wieder gerne!
grill,auf den Zahn fühlen
at heart,im Grunde (genommen)
behind me,hinter meinem Rücken
beneath contempt,unter aller Kanone
Bite me!,Du kannst mich mal!
ear-piercing,durch Mark und Bein gehend
Eat me!,Du kannst mich mal!
for keeps,für immer
Good gracious!,Grundgütiger!
How's tricks?,Was macht die Kunst?
in kind,auf (die) gleiche Weise
No way!,Kommt nicht in die Tüte!
Something's up.,Etwas liegt in der Luft.
without demur,ohne Anstand
be beyond,über Verstand gehen
be in,angesagt sein
be topped,daran glauben müssen
beat into,einbläuen
buckle down,sich ins Zeug legen
burden heart,das Herz abdrücken
come clean,die Hosen runterlassen
cut short,ins Wort fallen
dig deeper,nachhaken
do proud,die Ehre erweisen
feel out,auf den Zahn fühlen
get underway,in die Wege leiten
go downhill,den Bach runtergehen
go Dutch,sich die Rechnung teilen
go postal,völlig durchdrehen
go south,auf dem absteigenden Ast sein
go west,ins Gras beißen
hold against,gegen haben
keep mum,dichthalten
kick upstairs,auf ein totes Gleis schieben
lead on,etwas vormachen
leave flat,im Regen lassen
lose face,sich etwas vergeben
make away,sich aus dem Staub machen
palter with,mit sein Spiel treiben
pay for,ausbaden
play gooseberry,den Anstandswauwau spielen
play hookey,schwänzen
pull through,über die Runden kommen
put down,runterputzen
ride out,gut heil überstehen
rip off,übers Ohr hauen
send packing,zum Teufel jagen
skate around,links liegen lassen
skate over,links liegen lassen
slog out,bis zum Ende durchstehen
speak volumes,für sich sprechen
splash out,sich nicht lumpen lassen
split hairs,sich um des Kaisers Bart streiten
stand by,die Stange halten
stir blood,Blut in Wallung bringen
swing it,die Sache schaukeln
take out,außer Gefecht setzen
turn tricks,auf den Strich gehen
Gorgon stare,Gorgonenblick
across the pond,über den großen Teich
as opposed,im Gegensatz zu
"Unverified As they say, ...",Wie sagt man (doch) so schön: ...
at blow,mit einem Schlag
at any rate,in jedem Fall
at death's door,an der Pforte des Todes
at full tilt,auf Höchstleistung
Check it out!,Hört zu!
Cross your fingers!,Drücken Sie die Daumen!
Don't strain yourself.,Brich dir keinen ab.
Done and dusted.,Punktum und Streusand drauf.
End of story!,"Klappe zu, Affe tot!"
Enough is enough!,Jetzt schlägt's (aber) dreizehn!
Everything is OK.,Alles geht mit rechten Dingen zu.
Get outta here!,Das gibt's doch nicht!
Go blazes!,Scher dich zum Teufel!
Go hell!,Scher dich zum Teufel!
He's on-message.,Er vertritt die Linie der Partei.
hear you.,Ich habe Sie (durchaus) verstanden.
should know.,Da kann ich mitreden.
I'll die trying.,Ich werde mein Letztes geben.
in heartbeat,ohne zu zögern
in one go,ohne abzusetzen
in the bag,unter Dach und Fach
It's your choice.,Es liegt bei Ihnen.
Keep it dark!,Halten Sie es geheim!
like greased lightning,im D-Zug-Tempo
No big deal.,Kein Problem.
Not half bad!,Gar nicht so übel!
now and again,ab und an
now and then,ab und an
now and then,hie und da
Now we're talking!,Das hört sich schon besser an!
off-the-peg,von der Stange
on one's own,auf sich allein gestellt
on the blower,am Apparat
on the cheap,für kleines Geld
on the rocks,pleite
Rise and shine!,Raus aus den Federn!
face falls.,macht ein langes Gesicht.
She understands children.,Sie kann (gut) mit Kindern umgehen.
Spit it out!,Raus mit der Sprache!
Stone the crows!,Was es nicht alles gibt!
That doesn't compute.,Das ergibt keinen Sinn.
Unverified That's shout!,Das ist eine (gute) Idee!
That's pretty steep!,Das ist ein ziemlich hoher Preis!
There you are!,Da haben wir die Bescherung!
There you go!,"Na, da haben wir es doch!"
What the heck!,Was solls!
What the heck?,Was zum Kuckuck?
What's biting you?,Was ist mit dir los?
What's eating you?,Was macht dir zu schaffen?
with flying colors,mit Glanz und Gloria
with flying colours,mit Glanz und Gloria
You are welcome!,Bitte!
You are welcome!,Dafür nicht!
act in concert,am gleichen Strang ziehen
act in concert,an einem Strang ziehen
act up with,auf der Nase herumtanzen
apply Occam's razor,sich auf das Wesentliche beschränken
be gourmet,eine feine Zunge haben
be hoot,umwerfend komisch sein
be hoot,zum Schreien (komisch) sein
be lemon,eine Niete sein
be all mouth,eine große Klappe haben
be all there,seine fünf Sinne beisammen haben
be at stake,gelten
be at work,sein Wesen treiben
be doing porridge,im Knast sitzen
be having orgasms,ganz außer sich sein
be headed south,auf dem absteigenden Ast sein
be old hat,ein alter Hut sein
be past it,jenseits von Gut und Böse sein
be punch-drunk,Hirnschäden haben
be punch-drunk,Hirnschädigungen haben
be up,gewachsen sein
bear witness,von Zeugnis ablegen
beg the question,die Frage aufwerfen
belabor point,auf einem Punkt herumhacken
belabour the point,auf dem Thema herumreiten
bell the cat,der Katze die Schelle umhängen
bend over backwards,sich ein Bein ausreißen
blow mind,umhauen
boil with indignation,vor Entrüstung außer sich sein
bring into line,unter Kontrolle bringen
bring heel,auf Vordermann bringen
bring heel,kirre kriegen machen
bring home,von überzeugen
bring into being,ins Leben rufen
bring light,ans Licht bringen
bring light,zu Tage fördern
call mind,in Erinnerung rufen
call the tune,die erste Geige spielen
catch catnap,sich kurz aufs Ohr legen
catch red-handed,auf frischer Tat ertappen
catch sight of,ansichtig werden
change one's mind,sich eines anderen besinnen
chase (after) girls,hinter (den) Mädchen her sein
cock one's ear,die Ohren spitzen
come down handsomely,sich nicht lumpen lassen
come into question,in Frage kommen
cost bomb,ein Heidengeld kosten
cover back,den Rücken freihalten
cross mind,durch den Kopf gehen
cross path,über den Weg laufen
cry foul at,(öffentlich) als Fehlverhalten kritisieren
curry favor with,sich bei anbiedern
curry favour (with,sich (bei einschmeicheln
curry favour with,poussieren
curry favour with,sich bei anbiedern
depart this life,das Zeitliche segnen
do bunk,die Fliege machen
do bunk,türmen
do one's best,sich alle Mühe geben
dragoon into doing,"zwingen, zu tun"
drop brick,ins Fettnäpfchen treten
drop brick,in ein Fettnäpfchen treten
drop in it,reinreiten
drop the ball,einen Bock schießen
drop the ball,Mist bauen
earn the Benjamins,die Brötchen verdienen
feed line,einen Bären aufbinden
feel absolutely whacked,sich wie gerädert fühlen
feel beat up,sich geplättet fühlen
feel like shit,sich scheiße fühlen
fit the bill,genau der die das Richtige sein
fit the frame,in das Raster passen
flip the bird,den Mittelfinger zeigen
follow one's heart,dem Ruf des Herzens folgen
follow one's heart,dem Zug seines Herzens folgen
gain foothold,einen Fuß in die Tür bekommen
gain center stage,in den Mittelpunkt rücken
gain centre stage,in den Mittelpunkt rücken
get cold feet,kalte Füße bekommen
get cold feet,kalte Füße kriegen
get cold feet,Manschetten kriegen
get high on,sich an berauschen
get hold of,habhaft werden
Unverified get down for,für vormerken
get back up,in Harnisch bringen
get blood up,in Rage versetzen
get hackles up,in Harnisch bringen
get the runaround,von Pontius zu Pilatus geschickt werden
get under way,in Gang kommen
give oneself airs,sich aufs hohe Ross setzen
give rise,zu führen
give the bird,auspfeifen
give the slip,abschütteln
go easy on,auf Sparflamme kochen
go easy on,auf Sparflamme tun
go like clockwork,fluschen
go steady with,fest mit gehen
grasp the nettle,in den sauren Apfel beißen
hate guts,spinnefeind sein
have (got) taped,durchschauen
have blast,einen Haufen Spaß haben
have foothold,einen Fuß in der Tür haben
have deep pockets,eine dicke Brieftasche haben
have green fingers,einen grünen Daumen haben
have lost it,von der Rolle sein
have one's moments,(auch) seine guten Augenblicke haben
Unverified have recourse,Zuflucht zu nehmen
have second thoughts,sich besinnen
have down pat,im Griff haben
have down pat,in- und auswendig können
have verbal diarrhoea,wie ein Wasserfall reden
hit one's stride,so richtig losgehen
hit the roof,an die Decke gehen
hit the wall,einen Hungerast haben bekommen
jump it,aufs Wort parieren
keep on about,auf herumreiten
keep one's cool,einen kühlen Kopf bewahren
keep quiet about,mit hinterm Berg halten
keep in line,bei der Stange halten
keep on tenterhooks,auf die Folter spannen
keep under control,unter Kontrolle halten
keep tabs on,(genau) beobachten
keep track of,den Überblick über behalten
keep track of,die Übersicht über behalten
kick one's heels,Däumchen drehen
labour the point,auf dem Thema herumreiten
lack the knack,den Bogen nicht raushaben
lay claim,verlangen
lay eyes on,erblicken
lay rest,zur ewigen Ruhe betten
lay rest,zur letzten Ruhe betten
lose one's cherry,erstmals Sex haben
lose one's cool,die Nerven wegschmeißen
lose one's mind,verrückt werden
lose one's way,irregehen
lose track of,über die Übersicht verlieren
love distraction,bis zum Wahnsinn lieben
make amends for,für Genugtuung leisten
make fun of,über frotzeln
make fun of,über ulken
make light of,gering achten
make light of,verharmlosen
make one's mark,sich einen Namen machen
make oneself scarce,die Platte putzen
make get going,auf Trab bringen
make sense of,aus schlau werden
make unpalatable compromises,Kröten schlucken
mend fences (with,sich (wieder) (mit versöhnen
mind one's tongue,seine Zunge im Zaum halten
not mince matters,kein Blatt vor den Mund nehmen
order one's affairs,seine Angelegenheiten in Ordnung bringen
overstep the mark,den Bogen überspannen
pay attentions,den Hof machen
pick and choose,sich die Rosinen herauspicken
pitch fit,ausrasten
place value on,auf Wert legen
play games with,sein Spiel mit treiben
press buttons,bewusst in Rage bringen
prove equal,sich gewachsen zeigen
pull at heartstrings,zu Herzen gehen
pull at heartstrings,zu Tränen rühren
pull oneself together,sich am Riemen reißen
pull rank on,seinen (höheren) Rang spüren lassen.
pull chain,aufziehen
pull pieces,über herziehen
pull the strings,die Strippen ziehen
push buttons,bewusst in Rage bringen
push up daisies,ins Gras gebissen haben
put into effect,in Kraft setzen
put rights,in Ordnung bringen
rack one's brain,sich den Kopf zerbrechen
rack one's brains,sich den Kopf zerbrechen
read lips,von den Lippen lesen
recover one's legs,wieder auf die Beine kommen
recover one's voice,die Sprache wieder finden
regain one's legs,wieder auf die Beine kommen
ride one's hobbyhorse,seinem Affen Zucker geben
rub shoulders with,mit zusammenkommen
run the gauntlet,harter Kritik von allen Seiten ausgesetzt sein
scream blue murder,Zeter und Mordio schreien
scream blue murder,brüllen wie am Spieß
sell oneself short,sein Licht unter den Scheffel stellen
shift for oneself,auf sich selbst gestellt sein
slip through net,durchs Netz gehen
split one's sides,sich abhauen
stand one's ground,sich wacker halten
take nosedive,auf die Goschen fallen
take advantage of,aus Nutzen ziehen
take advantage of,sich zunutze machen
take hold on,Kontrolle über gewinnen
take issue with,Widerspruch gegen erheben
take liberties with,mit allzu frei umgehen
take note of,zur Kenntnis nehmen
take note of,von Kenntnis nehmen
take note of,vermerken
take in hand,an die Kandare nehmen
take off guard,überraschen
take task,ins Gebet nehmen
take breath away,den Atem rauben
take in stride,spielend (leicht) schaffen
take in stride,locker mit umgehen
take in stride,mit gut fertigwerden
take in stride,mit gut klarkommen
take into account,in Anschlag bringen
take stock (of,eine Bestandsaufnahme (von machen
take stock of,das Fazit aus ziehen
take the cake,den Vogel abschießen
talk turkey (with,(mit offen reden
talk turkey (with,(mit sachlich reden
throw money at,für Geld hinauswerfen
trade places (with,(mit die Plätze tauschen
trade places with,mit den Platz tauschen
trench on upon,beeinträchtigen
walk the streets,auf den Strich gehen
walk the talk,"praktizieren, was man predigt"
wear the pants,die Hosen anhaben
wear the trousers,die Hosen anhaben
worry one's brain,sich den Kopf zerbrechen
yell bloody murder,Zeter und Mordio schreien
boatload of,ein Batzen
pretty penny,eine (schöne) Stange Geld
that extra something,das Salz in der Suppe
the bee's knees,etwas ganz Großartiges
yesterday's chip paper,Schnee von gestern
all over the place,durcheinander
along the same lines,in (die) gleiche Richtung
Are you going bananas?,Bist du Banane?
as one thinks fit,frei nach Schnauze
as plain as day,so hell wie der Tag
balls the wall,so schnell wie möglich
beyond good and evil,jenseits von Gut und Böse
by fits and starts,sporadisch
by hook or crook,auf Biegen und Brechen
cash on the spot,bar auf die Hand
Crank up the volume!,Dreh mal lauter!
dressed the nines,wie aus dem Ei gepellt
Every little bit helps.,Auch der kleinste Beitrag zählt.
for all the world,um alles in der Welt
For crying out loud!,"Himmel, Arsch und Wolkenbruch!"
for the most part,im Großen und Ganzen
from head toe,vom Wirbel bis zum Zeh
from nought sixty,von null auf hundert
from pillar post,von Pontius zu Pilatus
from soup nuts,von Anfang bis Ende
from the get-go,(ganz) von Beginn an
from tip toe,vom Scheitel bis zur Sohle
from top toe,vom Scheitel bis zur Sohle
Get your shit together!,Reiß dich zusammen!
Give it bone!,Jetzt ist aber mal gut!
Go the Deuce!,Geh zum Teufel!
His crest is rising.,Ihm schwillt der Kamm.
His reputation preceded him.,Sein Ruf eilte ihm voraus.
His word carries weight.,Sein Wort hat Gewicht.
in dog's age,seit Urzeiten
in fits and starts,sporadisch
in the long run,auf Dauer
It breaks my heart.,Es bricht mir das Herz.
It cuts both ways.,Es hat seine Vor- und Nachteile.
It makes me sick.,Mir kommt alles hoch.
It went like clockwork.,Es lief wie am Schnürchen.
It's no big deal.,Das ist nichts Besonderes.
It's not rocket science.,Das ist keine Hexerei.
It's not rocket science.,Das ist nicht so kompliziert.
It's on the house.,Das geht aufs Haus.
Keep off my pitch!,Komm mir nicht ins Gehege!
Keep your hair on!,Reg dich nicht auf!
Let's call it quits!,Lass uns Schluss machen!
Like hell we did!,Einen Teufel hatten wir getan!
My blood was up.,Mir kam die Galle hoch.
My cup is overflowing.,Mein Glück ist (mehr als) vollkommen.
My head is spinning.,Mir brummt der Schädel.
My head is throbbing.,Mir brummt der Schädel.
My nerves are shot.,Ich bin völlig entnervt.
Not in my backyard!,Nicht vor meiner Haustür!
off one's own bat,auf eigene Faust
on razor's edge,auf des Messers Schneide
on equal terms (with,auf gleicher Basis (wie
on one's high horse,auf dem hohen Ross
on the Greek Kalends,an den griechischen Kalenden
out of the blue,aus heiterem Himmel
pain in the ass,absolut schrecklich
Pull the other one!,Das kannst du anderen weismachen!
loses his her temper,reißt die Hutschnur
She has been around.,Sie ist kein unbeschriebenes Blatt.
Shop till you drop!,Kauf ein bis zum Umfallen!
slow on the uptake,langsam von Begriff
slow on the uptake,schwer von Begriff
is not rocket science,ist kein Hexenwerk
is not rocket science,ist keine Atomwissenschaft
That takes the biscuit!,Das ist doch das Allerletzte!
That takes the cake!,Das ist das Hinterletzte!
That's just not done.,Das gehört sich nicht.
The coast is clear.,Es ist keine Störung zu befürchten.
thin as workhouse gruel,dünn wie Wassersuppe
"To put it plainly, ...","Im Klartext heißt das, dass ..."
cap it all,zu allem Überfluss
crown it all,zur Krönung des Ganzen
the bitter end,bis aufs Äußerste
We've come full circle.,Der Kreis schließt sich.
Welcome the club!,So ist das nun mal!
What in the hell ...,Was zum Teufel ...
Who the fuck is ...?,Wer zum Teufel ist ...?
with fear and trembling,mit Hangen und Bangen
without moving muscle,ohne mit der Wimper zu zucken
You made my evening.,Du hast meinen Abend gerettet.
You should be yourself.,Du solltest du selbst sein.
You've missed the boat.,Der Zug ist abgefahren.
accommodate oneself circumstances,den Mantel nach dem Winde hängen
add insult injury,das Ganze (nur) noch schlimmer machen
back the right horse,aufs richtige Pferd setzen
battle with red tape,sich mit der Bürokratie abplagen
be (at) one with,mit eins sein
be at loss,auf dem Schlauch stehen
be at odds (with,sich (mit streiten
be at rock bottom,im Keller sein
be at sea about,wegen vollkommen verwirrt sein
be behind the times,hinter dem Mond leben
be completely dominated by,unter Knute leben
be completely dominated by,unter Knute stehen
be dead set against,absolut gegen sein
be in control of,unter sich haben
be in on it,mit von der Partie sein
be in the limelight,im Licht der Öffentlichkeit stehen
be in too deep,zu tief drinstecken
be laid rest,die ewige Ruhe finden
be laid rest,zur letzten Ruhe gebettet werden
be of the party,mit von der Partie sein
be on everyone's lips,in aller Munde sein
be on one's game,gut in Form sein
be on one's guard,auf der Hut sein
be on the ball,auf Draht sein
be on the cards,(durchaus) denkbar sein
be on the downgrade,auf dem absteigenden Ast sein
be on the mend,sich bessern
be on the phone,an der Strippe hängen
be on the prowl,auf Beute aus sein
be on the shelf,zum alten Eisen gehören
be on the watch,auf der Hut sein
be out and about,um die Wege sein
be out of place,fehl am Platz Platze sein
be out of puff,außer Puste sein
be strong point,starke Seite sein
be strong suit,starke Seite sein
be thick as mince,dumm wie Stroh Bohnenstroh sein
be under heel,unter Knute leben
be under heel,unter Knute stehen
be under thumb,unter Knute leben
be under thumb,unter Knute stehen
be up speed,auf dem neuesten Stand sein
beat about the bush,mit der Sprache nicht herauswollen
beat the punch,zuvorkommen
besmirch good name,in Verruf bringen
besmirch good name,guten Namen beflecken
besmirch good name,guten Namen beschmutzen
besmirch good name,guten Namen besudeln
bite head off,den Kopf abreißen
blacken (good) name,(guten) Namen beschmutzen
blow one's own horn,sich selbst loben
blow one's own trumpet,sein eigenes Lob singen
blow out of proportion,unverhältnismäßig aufblähen
bow and scrape,um scharwenzeln
break it off (with,die Beziehung (mit beenden
bring home the bacon,die Brötchen verdienen
bring under the hammer,zur Versteigerung bringen
call in into question,infrage stellen
cast pearls before swine,Perlen vor die Säue werfen
come into one's own,voll zur Geltung kommen
come into the open,ans Tageslicht kommen
come an end,zu Ende gehen
come grips with,sich mit auseinandersetzen
come grips with,beikommen
come terms with,mit klarkommen
come the fore,in den Vordergrund rücken
control the purse strings,den Schlüssel zur Kasse haben
cut off money supply,den Geldhahn zudrehen
cut quite dash,wirklich eine gute Figur machen
do (one's) heart good,guttun
do number on,austricksen
do number on,bescheißen
draw bead on,auf anlegen
drop the bombshell,eine die Bombe platzen lassen
enjoy the fullest,voll auskosten
escape (from) the treadmill,aus der Tretmühle rauskommen
fade from the spotlight,in den Hintergrund rücken
fade into the background,in den Hintergrund rücken
fall by the wayside,auf der Strecke bleiben
fall into line with,mit konform gehen
feel hard done by,sich ungerecht behandelt fühlen
feel out of place,sich wie ein Fremdkörper vorkommen
feel in one's bones,instinktiv spüren
fight one's heart out,ohne Rücksicht auf Verluste kämpfen
float with the current,mit dem Strom schwimmen
fly off the handle,in Hitze geraten
follow the beaten track,auf den üblichen Pfaden wandeln
foul one's own nest,ein Nestbeschmutzer sein
furnish fit occasion,eine Steilvorlage bieten
